matrix_id,name,tf_class,family,tax_group,species,acc,information_content,binding_preference
MA0454.1,odd,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0456.1,opa,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0459.1,tll,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0460.1,ttk,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0145.2,Tfcp2l1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0468.1,DUX4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0515.1,Sox6,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0258.2,ESR2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0216.2,cad,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0533.1,su(Hw),Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0534.1,EcR::usp,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0237.2,pan,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0535.1,Mad,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0537.1,blmp-1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0542.1,elt-3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0544.1,snpc-4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0546.1,pha-4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0553.1,SMZ,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0559.1,PI,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0561.1,PIF4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0562.1,PIF5,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0566.1,MYC2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0567.1,ERF1B,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0574.1,MYB15,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0578.1,SPL8,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0580.1,DYT1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0590.1,LFY,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0595.1,SREBF1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0596.1,SREBF2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0599.1,KLF5,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0604.1,Atf1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0608.1,Creb3l2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0613.1,FOXG1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0614.1,Foxj2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0636.1,BHLHE41,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0641.1,ELF4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0042.2,FOXI1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0033.2,FOXL1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0153.2,HNF1B,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0486.2,HSF1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0653.1,IRF9,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0655.1,JDP2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0660.1,MEF2B,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0663.1,MLX,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0665.1,MSC,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0667.1,MYF6,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0669.1,NEUROG2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0676.1,Nr2e1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0678.1,OLIG2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0068.2,PAX4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0512.2,Rxra,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0083.3,SRF,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0009.2,TBXT,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0689.1,TBX20,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0691.1,TFAP4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0696.1,ZIC1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0713.1,PHOX2A,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0715.1,PROP1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0724.1,VENTX,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0728.1,Nr2F6,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0729.1,RARA,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0730.1,RARA,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0731.1,BCL6B,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0472.2,EGR2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0736.1,GLIS2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0737.1,GLIS3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0741.1,KLF16,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0088.2,ZNF143,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0758.1,E2F7,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
